0.5 1.000 0.750 1.000 2 * 3 27
1.0 1.000 1.000 1.000 3 * 3 9 27
1.5 1.000 1.000 1.000 3 * 3 9 27
2.0 1.000 1.000 1.000 3 * 3 9 27
2.5 1.000 1.000 1.000 3 * 3 9 27
3.0 1.000 1.000 1.000 3 * 3 9 27
3.5 1.000 1.000 1.000 3 * 3 9 27
4.0 1.000 1.000 1.000 3 * 3 9 27
4.5 1.000 1.000 1.000 3 * 3 9 27
5.0 1.000 1.000 1.000 3 * 3 9 27
5.5 1.000 1.000 1.000 3 * 3 9 27
6.0 1.000 1.000 1.000 3 * 3 9 27
6.5 1.000 1.000 1.000 3 * 3 9 27
7.0 1.000 1.000 1.000 3 * 3 9 27
7.5 1.000 1.000 1.000 3 * 3 9 27
8.0 1.000 1.000 1.000 3 * 3 9 27
8.5 1.000 1.000 1.000 3 * 3 9 27
9.0 1.000 1.000 1.000 3 * 3 9 27
9.5 1.000 1.000 1.000 3 * 3 9 27
10.0 1.000 1.000 1.000 3 * 3 9 27
0.5 1.000 0.750 1.000 2 * 3 27
1.0 1.000 1.000 1.000 3 * 3 9 27
1.5 1.000 1.000 1.000 3 * 3 9 27
2.0 1.000 1.000 1.000 3 * 3 9 27
2.5 1.000 1.000 1.000 3 * 3 9 27
3.0 1.000 1.000 1.000 3 * 3 9 27
3.5 1.000 1.000 1.000 3 * 3 9 27
4.0 1.000 1.000 1.000 3 * 3 9 27
4.5 1.000 1.000 1.000 3 * 3 9 27
5.0 1.000 1.000 1.000 3 * 3 9 27
5.5 1.000 1.000 1.000 3 * 3 9 27
6.0 1.000 1.000 1.000 3 * 3 9 27
6.5 1.000 1.000 1.000 3 * 3 9 27
7.0 1.000 1.000 1.000 3 * 3 9 27
7.5 1.000 1.000 1.000 3 * 3 9 27
8.0 1.000 1.000 1.000 3 * 3 9 27
8.5 1.000 1.000 1.000 3 * 3 9 27
9.0 1.000 1.000 1.000 3 * 3 9 27
9.5 1.000 1.000 1.000 3 * 3 9 27
10.0 1.000 1.000 1.000 3 * 3 9 27
0.5 1.000 0.750 1.000 2 * 3 27
1.0 1.000 1.000 1.000 3 * 3 9 27
1.5 1.000 1.000 1.000 3 * 3 9 27
2.0 1.000 1.000 1.000 3 * 3 9 27
2.5 1.000 1.000 1.000 3 * 3 9 27
3.0 1.000 1.000 1.000 3 * 3 9 27
3.5 1.000 1.000 1.000 3 * 3 9 27
4.0 1.000 1.000 1.000 3 * 3 9 27
4.5 1.000 1.000 1.000 3 * 3 9 27
5.0 1.000 1.000 1.000 3 * 3 9 27
5.5 1.000 1.000 1.000 3 * 3 9 27
6.0 1.000 1.000 1.000 3 * 3 9 27
6.5 1.000 1.000 1.000 3 * 3 9 27
7.0 1.000 1.000 1.000 3 * 3 9 27
7.5 1.000 1.000 1.000 3 * 3 9 27
8.0 1.000 1.000 1.000 3 * 3 9 27
8.5 1.000 1.000 1.000 3 * 3 9 27
9.0 1.000 1.000 1.000 3 * 3 9 27
9.5 1.000 1.000 1.000 3 * 3 9 27
10.0 1.000 1.000 1.000 3 * 3 9 27
0.5 1.000 0.750 1.000 2 * 3 27
1.0 1.000 1.000 1.000 3 * 3 9 27
1.5 1.000 1.000 1.000 3 * 3 9 27
2.0 1.000 1.000 1.000 3 * 3 9 27
2.5 1.000 1.000 1.000 3 * 3 9 27
3.0 1.000 1.000 1.000 3 * 3 9 27
3.5 1.000 1.000 1.000 3 * 3 9 27
4.0 1.000 1.000 1.000 3 * 3 9 27
4.5 1.000 1.000 1.000 3 * 3 9 27
5.0 1.000 1.000 1.000 3 * 3 9 27
5.5 1.000 1.000 1.000 3 * 3 9 27
6.0 1.000 1.000 1.000 3 * 3 9 27
6.5 1.000 1.000 1.000 3 * 3 9 27
7.0 1.000 1.000 1.000 3 * 3 9 27
7.5 1.000 1.000 1.000 3 * 3 9 27
8.0 1.000 1.000 1.000 3 * 3 9 27
8.5 1.000 1.000 1.000 3 * 3 9 27
9.0 1.000 1.000 1.000 3 * 3 9 27
9.5 1.000 1.000 1.000 3 * 3 9 27
10.0 1.000 1.000 1.000 3 * 3 9 27
0.5 1.000 1.000 1.000 3 * 3 9 27
1.0 1.000 1.000 1.000 3 * 3 9 27
1.5 1.000 1.000 1.000 3 * 3 9 27
2.0 1.000 1.000 1.000 3 * 3 9 27
2.5 1.000 1.000 1.000 3 * 3 9 27
3.0 1.000 1.000 1.000 3 * 3 9 27
3.5 1.000 1.000 1.000 3 * 3 9 27
4.0 1.000 1.000 1.000 3 * 3 9 27
4.5 1.000 1.000 1.000 3 * 3 9 27
5.0 1.000 1.000 1.000 3 * 3 9 27
5.5 1.000 1.000 1.000 3 * 3 9 27
6.0 1.000 1.000 1.000 3 * 3 9 27
6.5 1.000 1.000 1.000 3 * 3 9 27
7.0 1.000 1.000 1.000 3 * 3 9 27
7.5 1.000 1.000 1.000 3 * 3 9 27
8.0 1.000 1.000 1.000 3 * 3 9 27
8.5 1.000 1.000 1.000 3 * 3 9 27
9.0 1.000 1.000 1.000 3 * 3 9 27
9.5 1.000 1.000 1.000 3 * 3 9 27
10.0 1.000 1.000 1.000 3 * 3 9 27
0.5 1.000 0.750 1.000 2 * 3 27
1.0 1.000 1.000 1.000 3 * 3 9 27
1.5 1.000 1.000 1.000 3 * 3 9 27
2.0 1.000 1.000 1.000 3 * 3 9 27
2.5 1.000 1.000 1.000 3 * 3 9 27
3.0 1.000 1.000 1.000 3 * 3 9 27
3.5 1.000 1.000 1.000 3 * 3 9 27
4.0 1.000 1.000 1.000 3 * 3 9 27
4.5 1.000 1.000 1.000 3 * 3 9 27
5.0 1.000 1.000 1.000 3 * 3 9 27
5.5 1.000 1.000 1.000 3 * 3 9 27
6.0 1.000 1.000 1.000 3 * 3 9 27
6.5 1.000 1.000 1.000 3 * 3 9 27
7.0 1.000 1.000 1.000 3 * 3 9 27
7.5 1.000 1.000 1.000 3 * 3 9 27
8.0 1.000 1.000 1.000 3 * 3 9 27
8.5 1.000 1.000 1.000 3 * 3 9 27
9.0 1.000 1.000 1.000 3 * 3 9 27
9.5 1.000 1.000 1.000 3 * 3 9 27
10.0 1.000 1.000 1.000 3 * 3 9 27
0.5 1.000 1.000 1.000 3 * 3 9 27
1.0 1.000 1.000 1.000 3 * 3 9 27
1.5 1.000 1.000 1.000 3 * 3 9 27
2.0 1.000 1.000 1.000 3 * 3 9 27
2.5 1.000 1.000 1.000 3 * 3 9 27
3.0 1.000 1.000 1.000 3 * 3 9 27
3.5 1.000 1.000 1.000 3 * 3 9 27
4.0 1.000 1.000 1.000 3 * 3 9 27
4.5 1.000 1.000 1.000 3 * 3 9 27
5.0 1.000 1.000 1.000 3 * 3 9 27
5.5 1.000 1.000 1.000 3 * 3 9 27
6.0 1.000 1.000 1.000 3 * 3 9 27
6.5 1.000 1.000 1.000 3 * 3 9 27
7.0 1.000 1.000 1.000 3 * 3 9 27
7.5 1.000 1.000 1.000 3 * 3 9 27
8.0 1.000 1.000 1.000 3 * 3 9 27
8.5 1.000 1.000 1.000 3 * 3 9 27
9.0 1.000 1.000 1.000 3 * 3 9 27
9.5 1.000 1.000 1.000 3 * 3 9 27
10.0 1.000 1.000 1.000 3 * 3 9 27
0.5 1.000 0.750 1.000 2 * 3 27
1.0 1.000 1.000 1.000 3 * 3 9 27
1.5 1.000 1.000 1.000 3 * 3 9 27
2.0 1.000 1.000 1.000 3 * 3 9 27
2.5 1.000 1.000 1.000 3 * 3 9 27
3.0 1.000 1.000 1.000 3 * 3 9 27
3.5 1.000 1.000 1.000 3 * 3 9 27
4.0 1.000 1.000 1.000 3 * 3 9 27
4.5 1.000 1.000 1.000 3 * 3 9 27
5.0 1.000 1.000 1.000 3 * 3 9 27
5.5 1.000 1.000 1.000 3 * 3 9 27
6.0 1.000 1.000 1.000 3 * 3 9 27
6.5 1.000 1.000 1.000 3 * 3 9 27
7.0 1.000 1.000 1.000 3 * 3 9 27
7.5 1.000 1.000 1.000 3 * 3 9 27
8.0 1.000 1.000 1.000 3 * 3 9 27
8.5 1.000 1.000 1.000 3 * 3 9 27
9.0 1.000 1.000 1.000 3 * 3 9 27
9.5 1.000 1.000 1.000 3 * 3 9 27
10.0 1.000 1.000 1.000 3 * 3 9 27
0.5 1.000 1.000 1.000 3 * 3 9 27
1.0 1.000 1.000 1.000 3 * 3 9 27
1.5 1.000 1.000 1.000 3 * 3 9 27
2.0 1.000 1.000 1.000 3 * 3 9 27
2.5 1.000 1.000 1.000 3 * 3 9 27
3.0 1.000 1.000 1.000 3 * 3 9 27
3.5 1.000 1.000 1.000 3 * 3 9 27
4.0 1.000 1.000 1.000 3 * 3 9 27
4.5 1.000 1.000 1.000 3 * 3 9 27
5.0 1.000 1.000 1.000 3 * 3 9 27
5.5 1.000 1.000 1.000 3 * 3 9 27
6.0 1.000 1.000 1.000 3 * 3 9 27
6.5 1.000 1.000 1.000 3 * 3 9 27
7.0 1.000 1.000 1.000 3 * 3 9 27
7.5 1.000 1.000 1.000 3 * 3 9 27
8.0 1.000 1.000 1.000 3 * 3 9 27
8.5 1.000 1.000 1.000 3 * 3 9 27
9.0 1.000 1.000 1.000 3 * 3 9 27
9.5 1.000 1.000 1.000 3 * 3 9 27
10.0 1.000 1.000 1.000 3 * 3 9 27
0.5 1.000 0.750 1.000 2 * 3 27
1.0 1.000 1.000 1.000 3 * 3 9 27
1.5 1.000 1.000 1.000 3 * 3 9 27
2.0 1.000 1.000 1.000 3 * 3 9 27
2.5 1.000 1.000 1.000 3 * 3 9 27
3.0 1.000 1.000 1.000 3 * 3 9 27
3.5 1.000 1.000 1.000 3 * 3 9 27
4.0 1.000 1.000 1.000 3 * 3 9 27
4.5 1.000 1.000 1.000 3 * 3 9 27
5.0 1.000 1.000 1.000 3 * 3 9 27
5.5 1.000 1.000 1.000 3 * 3 9 27
6.0 1.000 1.000 1.000 3 * 3 9 27
6.5 1.000 1.000 1.000 3 * 3 9 27
7.0 1.000 1.000 1.000 3 * 3 9 27
7.5 1.000 1.000 1.000 3 * 3 9 27
8.0 1.000 1.000 1.000 3 * 3 9 27
8.5 1.000 1.000 1.000 3 * 3 9 27
9.0 1.000 1.000 1.000 3 * 3 9 27
9.5 1.000 1.000 1.000 3 * 3 9 27
10.0 1.000 1.000 1.000 3 * 3 9 27
0.5 1.000 0.750 1.000 2 * 3 27
1.0 1.000 1.000 1.000 3 * 3 9 27
1.5 1.000 1.000 1.000 3 * 3 9 27
2.0 1.000 1.000 1.000 3 * 3 9 27
2.5 1.000 1.000 1.000 3 * 3 9 27
3.0 1.000 1.000 1.000 3 * 3 9 27
3.5 1.000 1.000 1.000 3 * 3 9 27
4.0 1.000 1.000 1.000 3 * 3 9 27
4.5 1.000 1.000 1.000 3 * 3 9 27
5.0 1.000 1.000 1.000 3 * 3 9 27
5.5 1.000 1.000 1.000 3 * 3 9 27
6.0 1.000 1.000 1.000 3 * 3 9 27
6.5 1.000 1.000 1.000 3 * 3 9 27
7.0 1.000 1.000 1.000 3 * 3 9 27
7.5 1.000 1.000 1.000 3 * 3 9 27
8.0 1.000 1.000 1.000 3 * 3 9 27
8.5 1.000 1.000 1.000 3 * 3 9 27
9.0 1.000 1.000 1.000 3 * 3 9 27
9.5 1.000 1.000 1.000 3 * 3 9 27
10.0 1.000 1.000 1.000 3 * 3 9 27
0.5 1.000 0.750 1.000 2 * 3 27
1.0 1.000 1.000 1.000 3 * 3 9 27
1.5 1.000 1.000 1.000 3 * 3 9 27
2.0 1.000 1.000 1.000 3 * 3 9 27
2.5 1.000 1.000 1.000 3 * 3 9 27
3.0 1.000 1.000 1.000 3 * 3 9 27
3.5 1.000 1.000 1.000 3 * 3 9 27
4.0 1.000 1.000 1.000 3 * 3 9 27
4.5 1.000 1.000 1.000 3 * 3 9 27
5.0 1.000 1.000 1.000 3 * 3 9 27
5.5 1.000 1.000 1.000 3 * 3 9 27
6.0 1.000 1.000 1.000 3 * 3 9 27
6.5 1.000 1.000 1.000 3 * 3 9 27
7.0 1.000 1.000 1.000 3 * 3 9 27
7.5 1.000 1.000 1.000 3 * 3 9 27
8.0 1.000 1.000 1.000 3 * 3 9 27
8.5 1.000 1.000 1.000 3 * 3 9 27
9.0 1.000 1.000 1.000 3 * 3 9 27
9.5 1.000 1.000 1.000 3 * 3 9 27
10.0 1.000 1.000 1.000 3 * 3 9 27
0.5 1.000 1.000 1.000 3 * 3 9 27
1.0 1.000 1.000 1.000 3 * 3 9 27
1.5 1.000 1.000 1.000 3 * 3 9 27
2.0 1.000 1.000 1.000 3 * 3 9 27
2.5 1.000 1.000 1.000 3 * 3 9 27
3.0 1.000 1.000 1.000 3 * 3 9 27
3.5 1.000 1.000 1.000 3 * 3 9 27
4.0 1.000 1.000 1.000 3 * 3 9 27
4.5 1.000 1.000 1.000 3 * 3 9 27
5.0 1.000 1.000 1.000 3 * 3 9 27
5.5 1.000 1.000 1.000 3 * 3 9 27
6.0 1.000 1.000 1.000 3 * 3 9 27
6.5 1.000 1.000 1.000 3 * 3 9 27
7.0 1.000 1.000 1.000 3 * 3 9 27
7.5 1.000 1.000 1.000 3 * 3 9 27
8.0 1.000 1.000 1.000 3 * 3 9 27
8.5 1.000 1.000 1.000 3 * 3 9 27
9.0 1.000 1.000 1.000 3 * 3 9 27
9.5 1.000 1.000 1.000 3 * 3 9 27
10.0 1.000 1.000 1.000 3 * 3 9 27
0.5 1.000 0.750 1.000 2 * 3 27
1.0 1.000 1.000 1.000 3 * 3 9 27
1.5 1.000 1.000 1.000 3 * 3 9 27
2.0 1.000 1.000 1.000 3 * 3 9 27
2.5 1.000 1.000 1.000 3 * 3 9 27
3.0 1.000 1.000 1.000 3 * 3 9 27
3.5 1.000 1.000 1.000 3 * 3 9 27
4.0 1.000 1.000 1.000 3 * 3 9 27
4.5 1.000 1.000 1.000 3 * 3 9 27
5.0 1.000 1.000 1.000 3 * 3 9 27
5.5 1.000 1.000 1.000 3 * 3 9 27
6.0 1.000 1.000 1.000 3 * 3 9 27
6.5 1.000 1.000 1.000 3 * 3 9 27
7.0 1.000 1.000 1.000 3 * 3 9 27
